tensor(0.0135, device='cuda:0')
tensor(0.0076, device='cuda:0')
tensor(0.4785, device='cuda:0')
tensor(0.0926, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.4048, device='cuda:0')
tensor(0.0004, device='cuda:0')
tensor(0.0039, device='cuda:0')
tensor(0.1213, device='cuda:0')
tensor(0.0020, device='cuda:0')
tensor(0.0255, device='cuda:0')
tensor(0.0019, device='cuda:0')
tensor(0.0177, device='cuda:0')
tensor(0.1371, device='cuda:0')
tensor(0.3396, device='cuda:0')
tensor(0.0056, device='cuda:0')
tensor(0.3374, device='cuda:0')
tensor(0.0006, device='cuda:0')
tensor(0.0727, device='cuda:0')
tensor(0.3054, device='cuda:0')
tensor(0.0007, device='cuda:0')
tensor(0.0445, device='cuda:0')
tensor(0.2748, device='cuda:0')
tensor(0.0022, device='cuda:0')
tensor(0.0006, device='cuda:0')
tensor(0.0517, device='cuda:0')
tensor(0.1485, device='cuda:0')
tensor(0.2066, device='cuda:0')
tensor(0.0874, device='cuda:0')
tensor(0.0209, device='cuda:0')
tensor(0.0547, device='cuda:0')
tensor(0.0512, device='cuda:0')
tensor(0.0398, device='cuda:0')
tensor(0.4486, device='cuda:0')
tensor(0.0028, device='cuda:0')
tensor(0.0319, device='cuda:0')
tensor(0.0772, device='cuda:0')
tensor(0.0021, device='cuda:0')
tensor(0.0046, device='cuda:0')
tensor(0.0793, device='cuda:0')
tensor(0.0432, device='cuda:0')
tensor(0.0043, device='cuda:0')
tensor(0.0012, device='cuda:0')
tensor(0.0398, device='cuda:0')
tensor(0.0034, device='cuda:0')
tensor(0.0028, device='cuda:0')
tensor(0.0157, device='cuda:0')
tensor(0.0462, device='cuda:0')
tensor(0.0007, device='cuda:0')
tensor(8.8174e-05, device='cuda:0')
tensor(0.0833, device='cuda:0')
tensor(0.0526, device='cuda:0')
tensor(0.0144, device='cuda:0')
tensor(0.0729, device='cuda:0')
tensor(0.0358, device='cuda:0')
tensor(0.0728, device='cuda:0')
tensor(0.0292, device='cuda:0')
tensor(0.0004, device='cuda:0')
tensor(0.0025, device='cuda:0')
tensor(0.0060, device='cuda:0')
tensor(0.2161, device='cuda:0')
tensor(0.1194, device='cuda:0')
tensor(0.0018, device='cuda:0')
tensor(0.0138, device='cuda:0')
tensor(0.0002, device='cuda:0')
tensor(0.5186, device='cuda:0')
tensor(0.0044, device='cuda:0')
tensor(0.0695, device='cuda:0')
tensor(0.0003, device='cuda:0')
tensor(0.0001, device='cuda:0')
tensor(0.0012, device='cuda:0')
tensor(0.1385, device='cuda:0')
tensor(0.0228, device='cuda:0')
tensor(0.0776, device='cuda:0')
tensor(0.1003, device='cuda:0')
tensor(0.0161, device='cuda:0')
tensor(0.0045, device='cuda:0')
tensor(0.0115, device='cuda:0')
tensor(0.0007, device='cuda:0')
tensor(0.0309, device='cuda:0')
tensor(0.8688, device='cuda:0')
tensor(0.0006, device='cuda:0')
tensor(0.0001, device='cuda:0')
tensor(0.0803, device='cuda:0')
tensor(0.7190, device='cuda:0')
tensor(0.0017, device='cuda:0')
tensor(0.0115, device='cuda:0')
tensor(0.0586, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.0082, device='cuda:0')
tensor(0.0171, device='cuda:0')
tensor(0.0273, device='cuda:0')
tensor(0.0101, device='cuda:0')
tensor(0.0156, device='cuda:0')
tensor(0.3413, device='cuda:0')
tensor(0.1097, device='cuda:0')
tensor(0.0057, device='cuda:0')
tensor(0.0143, device='cuda:0')
tensor(0.2543, device='cuda:0')
tensor(0.1968, device='cuda:0')
tensor(7.1936e-05, device='cuda:0')
tensor(0.2197, device='cuda:0')
tensor(0.0278, device='cuda:0')
tensor(0.0008, device='cuda:0')
tensor(0.2175, device='cuda:0')
tensor(0.0311, device='cuda:0')
tensor(0.0907, device='cuda:0')
tensor(0.0203, device='cuda:0')
tensor(0.8109, device='cuda:0')
tensor(0.0266, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.1189, device='cuda:0')
tensor(0.0384, device='cuda:0')
tensor(0.0263, device='cuda:0')
tensor(0.0066, device='cuda:0')
tensor(0.3116, device='cuda:0')
tensor(0.1523, device='cuda:0')
tensor(0.0692, device='cuda:0')
tensor(0.0378, device='cuda:0')
tensor(0.0578, device='cuda:0')
